Species,Sequence_Type,Accession,Title,Organism,Length,Country,Geo_location,Source_info,Collection_date,Isolation_source,Strain,Authors,Journal
Hypophthalmichthys molitrix,Target,PV537417.1,"Hypophthalmichthys molitrix isolate UN3 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,667,,"India: Himachal Pradesh, UNA Bhakra Dam, Satluj river",,02-Sep-24,,UN3,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537416.1,"Hypophthalmichthys molitrix isolate UN2 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,591,,"India: Himachal Pradesh, UNA Bhakra Dam, Satluj river",,02-Sep-24,,UN2,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537415.1,"Hypophthalmichthys molitrix isolate UN1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,598,,"India: Himachal Pradesh, UNA'' ''Bhakra Dam, Satluj river",,02-Sep-24,,UN1,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,OP575598.1,"Hypophthalmichthys molitrix voucher PUL-HMA-Fish-721 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,652,,"Pakistan: Punjab, Ravi, Sheikupura, Noula",,26-Sep-21,,,"Ashraf,H.M. and Shakir,H.A.","Submitted (30-SEP-2022) Institute of Zoology, University of the Punjab, lahore, Pakistan, Punjab 54000, Pakistan"
Hypophthalmichthys molitrix,Target,OP947656.1,"Hypophthalmichthys molitrix voucher TR 11 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,India: Tripura,,,Gomti river,,"Dann,L., Parhi,J., Bhattacharjee,P., Datta,M.K., Tenali,D.R.K. and Radhakrishnan,K.V.",Unpublished
Hypophthalmichthys molitrix,Target,MZ870941.1,"Hypophthalmichthys molitrix isolate YPS_003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,585,,"China: Chongqing, Wulong",,,,YPS_003,"Zhang,Y. and Shen,Y.",Unpublished
Hypophthalmichthys molitrix,Target,MZ870940.1,"Hypophthalmichthys molitrix isolate SN_001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,585,,"China: Guizhou, Sinan",,,,SN_001,"Zhang,Y. and Shen,Y.",Unpublished
Hypophthalmichthys molitrix,Target,MZ870939.1,"Hypophthalmichthys molitrix isolate YY_002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,585,,"China: Chongqing, Youyang",,,,YY_002,"Zhang,Y. and Shen,Y.",Unpublished
Hypophthalmichthys molitrix,Target,ON097551.1,"Hypophthalmichthys molitrix voucher Fish261 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"Austria: Styria, Sulmspitz, Stauraum",,16-Apr-15,,,"Zangl,L., Schaffer,S., Daill,D., Friedrich,T., Gessl,W., Mladinic,M., Sturmbauer,C., Wanzenbock,J., Weiss,S.J. and Koblmuller,S.","PLoS One 17 (6), e0268694 (2022)"
Hypophthalmichthys molitrix,Target,MT884576.1,"Hypophthalmichthys molitrix voucher WZLIA1 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,603,,"China: Guangxi, Wuzhou, Wuzhou, Wuzhou",,07-Dec-17,,,"Chen,W. and Li,X.",Unpublished
Hypophthalmichthys molitrix,Target,MT884575.1,"Hypophthalmichthys molitrix voucher WZLIA2 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,603,,"China: Guangxi, Wuzhou, Wuzhou, Wuzhou",,07-Dec-17,,,"Chen,W. and Li,X.",Unpublished
Hypophthalmichthys molitrix,Target,MT884574.1,"Hypophthalmichthys molitrix voucher WZLIA3 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,603,,"China: Guangxi, Wuzhou, Wuzhou, Wuzhou",,07-Dec-17,,,"Chen,W. and Li,X.",Unpublished
Hypophthalmichthys molitrix,Target,MT884573.1,"Hypophthalmichthys molitrix voucher WZLIA4 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,603,,"China: Guangxi, Wuzhou, Wuzhou, Wuzhou",,07-Dec-17,,,"Chen,W. and Li,X.",Unpublished
Hypophthalmichthys molitrix,Target,MK572264.1,"Hypophthalmichthys molitrix from Bangladesh cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"Bangladesh: Dhaka, Dhaka, Kawran Bazar, Dhaka",,30-Jan-15,,,"Rahman,M.M., Noren,M., Mollah,A.R. and Kullander,S.O.","Sci Rep 9 (1), 9382 (2019)"
Hypophthalmichthys molitrix,Target,MK049433.1,"Hypophthalmichthys molitrix voucher KP063602 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,647,,Thailand,,May-2012/May-2017,fish fin,A,"Panprommin,D., Soontornprasit,K., Tuncharoen,S., Pitakpol,S. and Keereelang,J.",Unpublished
Hypophthalmichthys molitrix,Target,MK049432.1,"Hypophthalmichthys molitrix voucher KP063601 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,647,,Thailand,,May-2012/May-2017,fish fin,A,"Panprommin,D., Soontornprasit,K., Tuncharoen,S., Pitakpol,S. and Keereelang,J.",Unpublished
Hypophthalmichthys molitrix,Target,MK448068.1,"Hypophthalmichthys molitrix voucher FNP002 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,630,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Hypophthalmichthys molitrix,Target,MH938816.1,"Hypophthalmichthys molitrix haplotype 4 cytochrome oxidase I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,549,,,,,,,"Stepien,C.A., Snyder,M.R. and Elz,A.E.","PLoS ONE 14 (3), e0203012 (2019)"
Hypophthalmichthys molitrix,Target,MH938815.1,"Hypophthalmichthys molitrix haplotype 3 cytochrome oxidase I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,549,,,,,,,"Stepien,C.A., Snyder,M.R. and Elz,A.E.","PLoS ONE 14 (3), e0203012 (2019)"
Hypophthalmichthys molitrix,Target,MH938814.1,"Hypophthalmichthys molitrix haplotype 2 cytochrome oxidase I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,549,,,,,,,"Stepien,C.A., Snyder,M.R. and Elz,A.E.","PLoS ONE 14 (3), e0203012 (2019)"
Hypophthalmichthys molitrix,Target,MH938813.1,"Hypophthalmichthys molitrix haplotype 1 cytochrome oxidase I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,549,,,,,,,"Stepien,C.A., Snyder,M.R. and Elz,A.E.","PLoS ONE 14 (3), e0203012 (2019)"
Hypophthalmichthys molitrix,Target,MH087046.1,"Hypophthalmichthys molitrix voucher DUZM059.3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"Bangladesh: Turag River, Mirpur, Dhaka",Tissue Type: muscle,25-Sep-17,river water,Oct-19,"Ahmed,M.S., Ayesha,J.B.M.A., Reza,H.A. and Hossain,Z.",Unpublished
Hypophthalmichthys molitrix,Target,MG988397.1,"Hypophthalmichthys molitrix voucher M 3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,583,,Bangladesh,,03-Nov-17,"Bura dighi, Dinajpur",,"Afrin,R.A., Parvez,I., Sultana,S., Mahajebin,T. and Uddin,M.",Unpublished
Hypophthalmichthys molitrix,Target,MH176327.1,"Hypophthalmichthys molitrix isolate Exotic Silver Carp2b cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,714,,Bangladesh,,03-Nov-17,"Bura dighi, Dinajpur",Exotic Silver Carp2b,"Afrin,R.A., Parvez,I., Sultana,S. and Hoshan,I.",Unpublished
Hypophthalmichthys molitrix,Target,MF122397.1,"Hypophthalmichthys molitrix isolate 016 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,16,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122396.1,"Hypophthalmichthys molitrix isolate 017 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,17,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122395.1,"Hypophthalmichthys molitrix isolate 018 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,18,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122394.1,"Hypophthalmichthys molitrix isolate 019 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,19,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122393.1,"Hypophthalmichthys molitrix isolate 020 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,20,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122392.1,"Hypophthalmichthys molitrix isolate 021 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,21,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122391.1,"Hypophthalmichthys molitrix isolate 022 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,22,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122390.1,"Hypophthalmichthys molitrix isolate 015 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,15,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122389.1,"Hypophthalmichthys molitrix isolate 014 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,14,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122388.1,"Hypophthalmichthys molitrix isolate 013 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Hunan, Changsha",,,,13,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122387.1,"Hypophthalmichthys molitrix isolate 012 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,12,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122386.1,"Hypophthalmichthys molitrix isolate 010 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,10,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122385.1,"Hypophthalmichthys molitrix isolate 009 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,9,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122384.1,"Hypophthalmichthys molitrix isolate 008 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,8,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122383.1,"Hypophthalmichthys molitrix isolate 007 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,7,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122382.1,"Hypophthalmichthys molitrix isolate 006 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,6,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122381.1,"Hypophthalmichthys molitrix isolate 005 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Chongqing, Mudong",,,,5,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122380.1,"Hypophthalmichthys molitrix isolate 004 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Chongqing, Mudong",,,,4,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122379.1,"Hypophthalmichthys molitrix isolate 003 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Chongqing, Mudong",,,,3,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122378.1,"Hypophthalmichthys molitrix isolate 002 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Chongqing, Mudong",,,,2,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122377.1,"Hypophthalmichthys molitrix isolate 001 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Chongqing, Mudong",,,,1,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MF122376.1,"Hypophthalmichthys molitrix isolate 011 from China cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangsu, Zhenjiang",,,,11,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,MG837938.1,"Hypophthalmichthys molitrix voucher MXV699 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,631,,"Mexico: Distrito Federal, Iztapalapa, La Viga, Central de Abastos",,17-May-15,,,"Sarmiento-Camacho,S. and Valdez-Moreno,M.",Genome (2018) In press
Hypophthalmichthys molitrix,Target,MG837937.1,"Hypophthalmichthys molitrix voucher MXV696 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,631,,"Mexico: Distrito Federal, Iztapalapa, La Viga, Central de Abastos",,17-May-15,,,"Sarmiento-Camacho,S. and Valdez-Moreno,M.",Genome (2018) In press
Hypophthalmichthys molitrix,Target,MG837936.1,"Hypophthalmichthys molitrix voucher MXV706 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,631,,"Mexico: Distrito Federal, Iztapalapa, La Viga, Central de Abastos",,17-May-15,,,"Sarmiento-Camacho,S. and Valdez-Moreno,M.",Genome (2018) In press
Hypophthalmichthys molitrix,Target,MG837935.1,"Hypophthalmichthys molitrix voucher MXV697 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,631,,"Mexico: Distrito Federal, Iztapalapa, La Viga, Central de Abastos",,17-May-15,,,"Sarmiento-Camacho,S. and Valdez-Moreno,M.",Genome (2018) In press
Hypophthalmichthys molitrix,Target,KX224181.1,"Hypophthalmichthys molitrix voucher NXG201490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,639,,"USA: Missouri, CERC Ponds",,05-Jul-14,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224175.1,"Hypophthalmichthys molitrix voucher NXG201486 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Missouri, CERC Ponds",,05-Jul-14,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224165.1,"Hypophthalmichthys molitrix voucher NXG201488 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Missouri, CERC Ponds",,05-Jul-14,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224153.1,"Hypophthalmichthys molitrix voucher NXG201443 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,653,,"USA: Kansas, Wakarusa River, MJG 10-01",,27-Sep-10,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224148.1,"Hypophthalmichthys molitrix voucher NXG201444 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Kansas, Wakarusa River, MJG 10-01",,27-Sep-10,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224123.1,"Hypophthalmichthys molitrix voucher NXG201489 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,652,,"USA: Missouri, CERC Ponds",,05-Jul-14,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224122.1,"Hypophthalmichthys molitrix voucher NXG201440 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Kansas, Kansas River, KBS 09-01",,20-Jun-09,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224120.1,"Hypophthalmichthys molitrix voucher NXG201445 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Kansas, Wakarusa River, MJG 10-01",,27-Sep-10,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224119.1,"Hypophthalmichthys molitrix voucher NXG201441 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Kansas, Wakarusa River, MJG 10-01",,27-Sep-10,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224113.1,"Hypophthalmichthys molitrix voucher NXG201442 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Kansas, Wakarusa River, MJG 10-01",,27-Sep-10,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224111.1,"Hypophthalmichthys molitrix voucher NXG201446 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,"USA: Kansas, Wakarusa River, MJG 10-01",,27-Sep-10,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,KX224105.1,"Hypophthalmichthys molitrix voucher NXG201487 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,647,,"USA: Missouri, CERC Ponds",,05-Jul-14,,,"Roy,M., Belliveau,V., Mandrak,N. and Gagne,N.",Unpublished
Hypophthalmichthys molitrix,Target,MF140395.1,"Hypophthalmichthys molitrix voucher ZMUD:059 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,684,,"Bangladesh: Chenadi Beel, Shibpur",,27-Oct-16,,,"Ahmed,M.S., Islam,N.N., Sanzida,N.J., Ayesha,J.B.M.A. and Nahar,L.",Unpublished
Hypophthalmichthys molitrix,Target,KX657713.1,"Hypophthalmichthys molitrix voucher DUZM059 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,601,,Bangladesh,,06-Jun-16,,,"Ahmed,M.S., Chowdhury,M.K., Dina,S.M. and Nahar,L.",Unpublished
Hypophthalmichthys molitrix,Target,FJ459502.1,"Hypophthalmichthys molitrix voucher NBFGR:HM8071D cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,India,Tissue Type: muscle,,,,"Lakra,W.S. and Verma,M.S.",Unpublished
Hypophthalmichthys molitrix,Target,FJ459501.1,"Hypophthalmichthys molitrix voucher NBFGR:HM8071C cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,India,Tissue Type: muscle,,,,"Lakra,W.S. and Verma,M.S.",Unpublished
Hypophthalmichthys molitrix,Target,FJ459500.1,"Hypophthalmichthys molitrix voucher NBFGR:HM8071B cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,India,Tissue Type: muscle,,,,"Lakra,W.S. and Verma,M.S.",Unpublished
Hypophthalmichthys molitrix,Target,FJ459499.1,"Hypophthalmichthys molitrix voucher NBFGR:HM8071A cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,655,,India,Tissue Type: muscle,,,,"Lakra,W.S. and Verma,M.S.",Unpublished
Hypophthalmichthys molitrix,Target,KR862050.1,"Hypophthalmichthys molitrix voucher cyp3145 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangxi, Jiujiang, Hukou",,01-Aug-11,,,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,KR862049.1,"Hypophthalmichthys molitrix voucher cyp3032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangxi, Jiujiang, Hukou",,01-Aug-11,,,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,KR862048.1,"Hypophthalmichthys molitrix voucher cyp2914 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangxi, Jiujiang, Hukou",,01-Aug-11,,,"Shen,Y. and He,S.",Unpublished
Hypophthalmichthys molitrix,Target,KR862047.1,"Hypophthalmichthys molitrix voucher cyp2770 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,624,,"China: Jiangxi, Jiujiang, Hukou",,01-Aug-11,,,"Shen,Y. and He,S.",Unpublished
